,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Coihaique,CL,-45.5752,-72.0662,42.75,70,75,5.75,broken clouds
230,Zwedru,LR,6.0667,-8.1281,91.42,53,74,1.59,light rain
231,Suntar,RU,62.1444,117.6319,44.28,48,48,5.06,scattered clouds
232,Domingos Martins,BR,-20.3633,-40.6592,77.81,44,5,2.48,clear sky
233,Maniitsoq,GL,65.4167,-52.9,29.61,84,100,15.79,overcast clouds
234,Uncia,BO,-18.467,-66.5685,49.05,19,100,4.05,overcast clouds
235,Cabo San Lucas,MX,22.8909,-109.9124,78.06,71,0,2.35,clear sky
236,Kamen-Rybolov,RU,44.7481,132.0403,51.12,68,99,3.06,overcast clouds
237,Boyolangu,ID,-8.1181,111.8935,76.3,93,65,3.65,moderate rain
238,Nanortalik,GL,60.1432,-45.2371,35.42,84,100,16.73,light rain
239,Milledgeville,US,33.0801,-83.2321,84.07,65,1,0,clear sky
240,Soc Trang,VN,9.6033,105.98,78.76,90,100,5.14,overcast clouds
241,Shenjiamen,CN,29.9576,122.298,66.81,77,100,7.02,light rain
242,Labuhan,ID,-6.8844,112.2051,80.82,81,10,7.4,clear sky
243,Nyurba,RU,63.2842,118.3319,45.63,43,98,5.35,overcast clouds
244,Quelimane,MZ,-17.8786,36.8883,76.95,57,20,13.8,few clouds
245,Bilibino,RU,68.0546,166.4372,27.82,94,100,2.93,overcast clouds
246,Saint-Augustin,CA,51.226,-58.6502,40.6,30,86,15.17,overcast clouds
247,Intibuca,HN,14.3167,-88.1667,64.6,94,75,4.61,broken clouds
248,Goderich,CA,43.7501,-81.7165,66.52,45,97,11.5,overcast clouds
249,Pisco,PE,-13.7,-76.2167,66.25,77,40,9.22,scattered clouds
250,America Dourada,BR,-11.4553,-41.4361,87.03,30,40,7.38,scattered clouds
251,Lashio,MM,22.9333,97.75,73.22,89,69,2.86,moderate rain
252,Saint-Pierre,RE,-21.3393,55.4781,71.28,85,90,12.66,light rain
253,Caucaia,BR,-3.7361,-38.6531,88.07,65,40,11.79,scattered clouds
254,Kavieng,PG,-2.5744,150.7967,81.46,80,99,4.72,light rain
255,Russell,US,32.3502,-85.1999,82.11,51,1,1.45,clear sky
256,Basco,PH,20.4487,121.9702,83.97,77,18,8.75,few clouds
257,Oranjestad,AW,12.524,-70.027,85.95,70,75,25.32,broken clouds
258,Roma,US,43.2128,-75.4557,66.65,52,1,9.22,clear sky
259,Ilulissat,GL,69.2167,-51.1,42.82,33,75,20.71,broken clouds
