City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
364,Praxedis Guerrero,MX,75.56,clear sky,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
365,Emborion,GR,88.32,clear sky,40.4833,21.55,Villa Kastanodasos
368,Dennery,LC,86.13,scattered clouds,13.8996,-60.8879,The Fox Grove Inn
377,Grenada,ES,76.77,few clouds,37.1882,-3.6067,HOTEL REINA CRISTINA
381,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
384,Isilkul,RU,81.79,broken clouds,54.9109,71.2728,Perekrestok Mini-Hotel
396,Nortelandia,BR,75.02,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
399,Lucapa,AO,84.04,few clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
400,Sampit,ID,77.95,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
402,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
403,Starkville,US,79.95,broken clouds,33.4504,-88.8184,Hilton Garden Inn Starkville
405,Pokhara,NP,78.44,few clouds,28.2333,83.9833,Butterfly Lodge
409,Moyo,UG,76.33,overcast clouds,3.6609,31.7247,Amelia Guest House
414,Pringsewu,ID,75.18,scattered clouds,-5.3582,104.9744,Urban Style by Front One
415,Kimbe,PG,78.37,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
421,Bandarbeyla,SO,83.3,clear sky,9.4942,50.8122,JABIR HOTEL
422,Puerto Ayacucho,VE,82.85,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
429,Uvira,CD,77.38,light rain,-3.4067,29.1458,Hotel Suzana
433,Kantang,TH,80.51,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
437,Gondanglegi,ID,75.63,light rain,-7.7479,112.0132,Gg. Munasir Homestay
441,Nishihara,JP,78.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
444,Sweetwater,US,83.01,scattered clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
446,Shakawe,BW,80.17,clear sky,-18.3667,21.85,Ditlhapi Guest House
447,Lasem,ID,79.99,few clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
449,Castellana Grotte,IT,88.41,clear sky,40.8864,17.1655,Semiramide Palace Hotel
454,Nouakchott,MR,82.33,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
464,Dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,Le Rocher
468,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
469,Akyab,MM,84.88,light rain,20.15,92.9,Hotel Memory
471,Varkkallai,IN,85.78,overcast clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
474,Dingle,PH,79.88,clear sky,10.9995,122.6711,SEGAYA PROPERTY
477,Komsomolskiy,UZ,78.22,overcast clouds,40.4272,71.7189,Ikathouse
482,Port Blair,IN,82.83,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
484,Cururupu,BR,88.29,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
487,Lumding,IN,78.35,moderate rain,25.7535,93.1732,Hotel Nilamber
491,Cayon,KN,85.53,few clouds,17.35,-62.7333,Ottley's Plantation Inn
496,Maibong,IN,78.69,moderate rain,25.3,93.1667,Juhi Cottage Maibang
497,Qui Nhon,VN,80.82,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
498,Bud,US,80.58,overcast clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
504,Buriti Bravo,BR,87.91,broken clouds,-5.8372,-43.8336,Hotel Fazenda
517,Pascagoula,US,83.55,clear sky,30.3658,-88.5561,Regency Inn
519,Aksehir,TR,75.47,scattered clouds,38.3575,31.4164,GRAND HOTEL AKŞEHİR
522,Houma,US,80.01,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
524,Acajutla,SV,84.79,overcast clouds,13.5928,-89.8275,asi es
525,Dunmore Town,BS,75.29,broken clouds,25.5,-76.65,Coral Sands Hotel
528,Manggar,ID,82.78,few clouds,-2.8833,108.2667,Guest Hotel
530,Omsk,RU,78.69,clear sky,55.0,73.4,Tourist Hotel
532,Hatillo,PR,88.38,clear sky,18.4863,-66.8254,Hotel Parador El Buen Cafe
541,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
